"T","RH","AH","CO","NOx","NO2","O3"
12.4,63.9,0.917,5.5,360,114,1680
14.8,54.3,0.9076,8.1,478,149,2184
17.4,45.6,0.8993,5.8,394,157,1973
19.8,38.5,0.8801,4.2,319,155,1798
22,34.1,0.8904,3.1,201,134,1522
23.3,32.2,0.9096,2.9,171,119,1404
23.9,30,0.8757,2.9,159,111,1263
24.4,28.9,0.8736,2.5,153,104,1137
24.4,29.4,0.8848,2.3,143,99,1068
23.8,31.3,0.9137,2.8,156,110,1252
22.5,35.4,0.9547,6.1,314,162,1843
20.4,42.5,1.0086,8,404,187,2122
18.3,52.6,1.0945,6.5,320,165,1992
16.7,57.4,1.0786,4.2,256,145,1707
15.7,60.2,1.0654,3.2,193,125,1494
15.3,61.4,1.058,1.4,89,101,1164
14.1,65.7,1.0494,2.1,127,103,1272
14.8,60.6,1.0148,1.2,79,88,1040
14.8,59.2,0.9879,0.8,43,61,867
13.6,62.1,0.9636,0.7,-200,-200,826
12.3,66.2,0.945,-200,59,59,840
12.8,63.2,0.9283,0.6,38,52,793
11.2,68.5,0.9081,0.9,82,64,870
11,66.5,0.8705,1.3,99,70,930
11.7,63.7,0.8719,3.4,263,97,1407
13.6,56.3,0.8743,3.7,229,95,1507
17.8,42.9,0.8672,5.3,396,150,1843
21.4,33.3,0.8417,4.1,314,162,1729
24.4,27.4,0.8231,3.3,217,154,1583
25.3,26.1,0.8264,4,252,161,1671
25.8,23.2,0.7589,3.8,263,161,1491
27,20.2,0.7094,2.8,180,128,1240
28.2,18.6,0.7014,2.9,184,129,1313
28,19.1,0.7098,2.9,190,133,1363
23.9,25.7,0.7519,3.4,184,139,1296
21.3,34.8,0.873,3.9,181,137,1432
20.4,36.7,0.8704,3.2,166,143,1432
19,41.3,0.9007,5.1,317,177,2034
17.9,45.9,0.9342,2.6,184,138,1602
16.7,48.9,0.9226,1.7,130,117,1362
15.5,52.9,0.9271,1.7,132,107,1314
15.5,51.9,0.9059,1.2,95,90,1114
14.1,55.6,0.891,0.9,70,79,992
13.1,57.9,0.8666,0.7,-200,-200,884
12.7,57.9,0.8447,-200,54,60,808
11.8,58,0.8026,0.5,28,40,667
11.9,57.4,0.7978,0.5,46,53,733
9.9,65.2,0.7956,1.6,160,84,1052
11.1,60.2,0.7958,4.1,320,108,1534
14.1,50,0.802,6.6,377,127,1931
17.7,40.1,0.8048,4.3,280,134,1734
21.1,33.4,0.8265,2.9,221,135,1595
24.3,28.3,0.8471,2.5,210,142,1490
25.6,25.6,0.8254,2.8,204,153,1508
25.9,25.9,0.8503,2.6,161,123,1334
26.8,18.7,0.65,2,135,104,1045
29.3,15.8,0.6309,2.9,186,129,1221
28.5,14.9,0.5708,2.5,147,114,1069
25.9,16,0.5237,5,299,158,1569
23.1,26.5,0.7403,7.6,411,194,2306
20.5,38.2,0.9133,6.7,347,182,2359
19.1,42.6,0.9294,5.7,336,180,2050
17.2,44.1,0.8558,2.8,202,136,1727
16,50.9,0.9206,2.6,178,127,1705
14.8,53.9,0.9024,2.3,154,116,1551
14.3,55.4,0.8975,1.4,92,107,1240
14.8,52.1,0.8686,1,61,88,1115
13.9,53.9,0.8501,0.7,-200,-200,969
11.6,61.9,0.8442,-200,60,78,925
12,58.9,0.8233,0.6,37,57,828
10.9,62.1,0.8113,0.7,68,71,893
10.6,63.3,0.8067,1.5,139,85,1075
11.5,60,0.8117,4.7,339,124,1610
14.3,50.6,0.8186,6.6,421,151,2051
17.8,40.5,0.821,4.5,349,150,1819
20.8,34.4,0.8365,2.8,224,152,1568
23.8,28.2,0.8219,2.2,171,139,1374
24.2,28.7,0.8515,2.2,149,133,1268
25.2,24.9,0.7829,2.3,137,126,1144
27,17.8,0.6275,2.2,149,128,1109
27.1,23.1,0.818,2.8,172,169,1347
25.8,23.9,0.7832,2.7,166,149,1206
23,26.8,0.7446,3.7,214,156,1397
20.7,31.1,0.7523,5.1,280,168,1588
18.6,36.2,0.7676,5.1,276,176,1569
16,48.4,0.8768,3.2,178,135,1322
14.5,57.8,0.9456,2.1,129,121,1194
13.1,64.2,0.9606,1.7,95,99,1062
12,69.7,0.9735,2,126,106,1040
11.9,71.1,0.9915,1.6,103,96,917
12.5,69.3,1.0029,0.9,48,63,594
12.5,67.5,0.9768,0.7,-200,-200,430
12.3,67.7,0.9665,-200,20,32,397
12.5,66.8,0.962,0.5,18,28,370
12.3,66.3,0.9487,0.7,56,61,438
12.4,64.9,0.9332,1.5,115,99,704
13,61.6,0.9209,4.8,320,157,1476
13.6,58.8,0.912,6.2,357,166,1716
13.9,57.1,0.9032,4,253,149,1398
14.5,54.4,0.8917,3.3,218,135,1268
15.5,50.1,0.8744,2.8,192,127,1188
16.1,47.6,0.8655,3,176,122,1171
16.3,47.1,0.864,3.3,198,135,1250
16.4,47.5,0.8791,3.5,212,139,1344
16.1,50.2,0.9094,4,249,147,1378
16,50.7,0.9142,4.6,270,158,1435
15.8,50.3,0.8989,4.1,231,146,1372
15.5,50.6,0.884,4.5,251,144,1471
15.4,51.4,0.8956,3.9,210,138,1439
15.2,53.1,0.9117,4,249,143,1429
14.7,57.6,0.9573,2.2,143,116,1081
14.2,58.3,0.938,2.1,127,109,993
13.8,57.9,0.9085,1.7,104,92,837
13.9,55.9,0.8842,1.6,86,83,761
13.9,55.6,0.8765,1.3,74,81,650
13.8,55.1,0.8666,1.3,-200,-200,591
13.8,54.6,0.8574,-200,44,55,505
13.6,55.1,0.856,0.8,42,53,518
13.6,59,0.9129,0.8,63,67,571
13.5,58.4,0.896,1.1,115,91,842
13.8,58,0.9083,2.1,170,113,1145
14.6,53.1,0.8765,2.4,147,102,1218
15,52.3,0.8881,2.6,166,107,1341
15.4,52.1,0.9046,2.8,195,113,1406
16.3,50,0.9158,2.6,182,108,1422
17.1,47.9,0.9281,2.6,168,105,1373
19,42.9,0.937,2.1,125,93,1153
19.5,42.3,0.9476,1.7,95,87,927
19.5,42.3,0.9493,1.6,79,76,766
19.1,43.8,0.9556,2.1,119,94,941
18.5,46.3,0.9744,2.3,142,110,1146
17.4,51.6,1.0159,3.5,215,136,1417
17.1,51.3,0.9914,3.9,229,139,1442
16.4,53.8,0.9964,3.3,206,125,1323
16.2,55.4,1.0132,2.3,147,111,1125
15.9,57.7,1.0356,2.1,122,97,1036
15.7,58.6,1.0396,2.8,175,107,1202
15.1,60.9,1.0398,2.1,133,90,1054
15.6,56.6,0.9951,1.6,89,84,903
15.2,57.9,0.9941,1.6,-200,-200,885
15.4,57.8,1.0021,-200,85,87,818
14.9,60.6,1.0196,1.1,55,66,700
14.5,63,1.0316,0.7,24,36,580
14.2,66.2,1.063,0.8,72,62,815
14.5,65.3,1.0704,1.2,122,91,1035
15.3,62.1,1.073,1.4,111,89,1067
16.3,59,1.0868,1.7,123,93,1114
18.9,49.6,1.07,1.8,106,81,1000
19.4,46.1,1.0249,1.8,103,82,906
20.8,41.6,1.0091,1.9,102,80,822
21.4,40.3,1.0126,1.3,48,48,610
21.2,39.3,0.9791,1.6,63,61,657
20.3,38,0.8942,1.9,98,89,647
19.4,41.3,0.9206,2.3,132,105,762
18.5,43.8,0.9252,3.8,173,116,1122
17.8,48.1,0.9689,3.5,185,119,1130
17.9,46.9,0.952,4.3,266,144,1637
17.4,49.1,0.9688,2.8,188,123,1272
17,51.7,0.9914,1.9,122,105,1098
16.4,55.1,1.0198,1.9,112,93,1066
16.1,60,1.0919,1.7,93,86,909
15.8,60.5,1.0805,1.5,74,76,818
16.3,57,1.0491,0.6,23,33,472
16.9,53.9,1.0309,0.4,-200,-200,394
16.1,55.9,1.0153,-200,17,27,396
16.5,53.9,1.0049,0.3,15,23,378
16.4,54,0.9979,0.6,41,46,432
15.7,57.6,1.0195,1.2,86,76,699
15.8,53.7,0.9571,3.6,226,116,1252
17.4,42.1,0.8281,3.7,214,115,1237
17.9,38.4,0.7793,1.8,115,83,772
18.5,36.7,0.7764,1.6,124,87,766
21,29.6,0.7263,1.9,122,90,829
21.3,28.1,0.7067,2,107,87,783
21.3,26.1,0.6539,2.2,133,99,822
21.3,26.8,0.6681,2.1,130,99,813
21.3,24.2,0.606,2.3,150,101,813
20.2,28.5,0.6682,2.6,138,103,850
17,43.1,0.8264,3.8,213,129,1276
15.6,47.4,0.8347,4.4,232,143,1401
15.3,47.4,0.8178,4.5,238,146,1356
14.5,49.7,0.8177,3.3,180,124,1243
13.9,52,0.8231,2,128,113,1083
14.5,49.4,0.8106,1.1,65,80,795
13.8,51.4,0.8071,0.9,53,72,735
14,51.3,0.8163,0.8,47,64,684
13,56.8,0.8444,0.7,51,70,714
11,70,0.9215,0.5,-200,-200,456
10.1,76.8,0.9483,-200,20,31,401
8.8,80.5,0.9147,0.3,13,22,361
9.6,75.4,0.9004,0.5,33,47,418
9.8,75,0.9093,1.1,103,88,616
10,74.2,0.9117,3,224,130,1089
11.2,69.7,0.9232,3.8,244,132,1329
12,62.9,0.8803,3.4,237,132,1311
12.8,55.8,0.821,3,220,131,1236
13.1,54.8,0.8234,2.7,207,129,1147
13.8,53.4,0.8351,3.5,208,132,1301
16,42.4,0.7674,2.8,160,110,1097
14.1,49.8,0.7971,1.9,131,99,900
12,61.1,0.8537,2,128,100,781
13.6,54.6,0.8465,3,176,122,1013
13.7,49.5,0.7695,1.9,107,97,790
11.7,57.1,0.7822,2.7,131,112,1059
11.5,58.2,0.7867,3.3,166,128,1205
12.6,54.2,0.7881,1.7,89,101,975
12,54.9,0.7664,1.3,81,96,896
11,61.4,0.8057,1.3,78,86,911
11.1,62.2,0.8199,1.2,70,85,902
10.8,62.5,0.8082,1.1,76,79,832
11.3,60,0.8025,0.9,43,61,715
10.6,61.6,0.7856,0.6,-200,-200,683
10.2,62.7,0.7813,-200,44,66,721
10.9,58.6,0.7628,0.6,34,54,648
10.8,57.2,0.7382,0.8,43,57,612
10.4,59.2,0.7455,1.2,79,75,800
11,57.3,0.7501,3.1,174,97,1173
11.2,56.9,0.7565,4.4,235,110,1519
12.1,54.9,0.7734,3.4,218,113,1287
15.1,44.3,0.7535,1.7,136,88,966
15.6,40.6,0.7146,1.5,117,85,828
16.9,34.6,0.6597,1.7,119,96,825
16.6,35.6,0.6697,2.2,126,106,872
11.3,63.9,0.8554,-200,100,91,680
9.6,81.1,0.972,2.7,197,126,1002
11.7,69.1,0.9497,2.8,195,130,1159
10.7,68.5,0.8794,2.7,156,111,979
10.7,67.3,0.8643,4.5,247,134,1311
10.8,65.7,0.8486,3.5,190,136,1071
10.3,66.3,0.8336,2.6,169,125,899
10.1,66.9,0.8248,1.7,118,108,766
10.4,61.1,0.7717,1.3,81,87,589
10.3,59.9,0.7516,1.3,80,89,631
11,58.4,0.7686,1,42,58,479
9.1,68.1,0.789,0.7,38,54,479
9.5,68.2,0.8091,0.7,-200,-200,417
9.3,72.3,0.8496,0.5,18,28,378
9.9,66.8,0.8152,0.5,12,20,344
7.6,83.2,0.8695,0.6,43,51,413
8.1,79,0.8544,1.1,84,82,605
8.7,74.6,0.8429,2.7,184,112,991
8.6,75.1,0.8415,3.5,202,119,1175
9.7,69.7,0.8389,2.3,133,99,923
11,64.4,0.8447,1.6,130,98,829
13.6,53,0.8209,1.3,106,88,733
14.2,48.4,0.778,2,132,96,819
14.2,46.3,0.7438,1.9,106,81,723
16,41.3,0.7462,1.9,125,92,786
17.7,35.4,0.7094,2.2,138,105,850
17.1,37.4,0.7225,2,120,88,820
14.9,40.5,0.6835,2.9,158,103,991
13.4,47.8,0.7293,5.2,253,141,1454
12.6,52.5,0.7642,4.6,231,133,1488
12.2,53.2,0.7555,2.5,150,119,1205
10.6,56.1,0.714,1.5,99,106,909
9.9,59.5,0.7276,1.2,75,92,769
9.6,61.1,0.7323,1.7,93,97,835
9.7,61.6,0.7425,1.4,79,91,793
9.4,62.6,0.7398,1.2,67,83,733
8.2,68.5,0.7455,0.6,-200,-200,502
8,69.4,0.7459,0.7,45,59,562
7.7,72.4,0.7655,0.8,72,73,832
8,71.8,0.7711,0.9,103,78,924
8.5,66.3,0.7375,1.6,132,90,974
9.8,59.6,0.7214,3.4,239,110,1307
11.2,57,0.7544,3.8,275,114,1481
14.8,44.1,0.7407,3.1,232,119,1405
16.8,35.3,0.6729,2.7,180,121,1195
19.2,27.1,0.5976,2,112,97,868
19.1,26.2,0.5741,2.3,116,99,874
16.3,30.8,0.5683,1.9,103,85,738
14.2,36.8,0.5922,1.3,89,75,550
13.4,41,0.6292,1.9,112,87,777
14.2,43.3,0.6982,2.3,127,102,966
12.1,45.6,0.6403,2.4,125,105,990
10.4,48,0.6046,2.7,120,98,944
10,51.1,0.628,2.6,120,93,962
9.8,50.8,0.6172,1.5,99,91,778
9.7,50.4,0.6063,1.2,79,85,690
9.9,50.2,0.6103,1.1,66,74,644
9.4,53.4,0.63,1.5,94,87,753
8.6,57.8,0.6488,1,70,79,646
8.1,62.1,0.6746,1.2,75,78,838
7.9,63.5,0.6777,1.1,-200,-200,851
7.4,64.8,0.6683,-200,57,63,801
8.2,58.9,0.6444,0.8,32,48,665
6.3,66.6,0.641,0.9,54,59,717
7.2,62.9,0.6396,1.1,68,65,795
7.2,63.9,0.65,1.5,98,71,936
11.1,50.5,0.6654,1.8,128,84,1076
15.5,36.1,0.6313,2.1,129,93,1016
17.8,29.2,0.592,2.1,130,99,834
17.6,30.1,0.6013,1.9,111,93,756
19.1,26.8,0.5861,2.1,106,96,766
17.7,28.6,0.5735,2.5,137,114,905
17.8,28.4,0.5737,1.9,113,101,765
18.7,26,0.5555,2.2,122,108,830
17.1,31.3,0.6038,2.3,137,117,853
15.8,36.1,0.644,2.7,165,125,981
14.7,40.1,0.6657,3,196,133,1286
13.6,44.9,0.6991,2.8,174,119,1244
12.5,48.1,0.6946,2.2,140,107,1056
11.8,50.8,0.7042,1.6,102,96,1003
10.9,56.1,0.7326,2.1,130,105,1245
10.9,55.9,0.7277,2.3,121,102,1200
10.3,58.1,0.7278,2.3,111,97,1188
9.3,62.2,0.7294,1.7,87,79,1070
8.2,66.7,0.7276,2.2,-200,-200,1075
8.3,64.9,0.7124,1.3,77,69,895
9.6,58.5,0.7,0.8,39,52,755
7.7,66.4,0.699,1.1,77,62,806
7.4,68,0.7043,1.4,91,69,836
9.7,58.6,0.7035,1.3,105,75,897
12.5,50.1,0.7242,1.9,133,83,1073
16.8,36.9,0.7018,2.3,128,94,1088
19.2,31.3,0.6887,2.3,126,96,1036
21.3,26.4,0.6607,1.8,92,86,768
21.2,23.1,0.5768,1.4,66,72,587
18.6,25,0.5319,1,50,53,452
18,27.3,0.5594,1.4,70,65,470
18.2,28.3,0.5848,1.3,73,70,502
17,31.4,0.6048,1.3,77,75,516
15.6,35,0.617,1.4,86,86,555
14.1,40.2,0.6438,1.9,93,94,671
13.4,43.2,0.6623,1.8,105,103,788
12.3,46.8,0.6686,1.1,67,81,538
11.9,46.5,0.6449,1.1,63,80,544
11.5,46.6,0.6319,1.1,63,77,500
10.6,48,0.6135,0.9,46,58,417
10.7,45.8,0.5895,0.6,21,31,341
10.4,46.6,0.5901,0.5,22,38,352
10.1,47.8,0.5913,0.7,-200,-200,397
11.3,46.9,0.628,0.6,39,59,502
10.1,51.2,0.6341,0.7,55,70,648
9.9,50.7,0.6167,0.9,76,75,760
8.1,56.8,0.615,2.9,181,103,1183
10.9,44.1,0.5748,4.1,259,134,1431
11.8,37.6,0.5184,1.5,118,98,705
13.9,33.2,0.5222,1.5,119,97,637
15.6,30.1,0.5285,1.5,123,98,658
16.5,29,0.5406,1.4,92,78,546
17.5,27.9,0.5517,1.6,91,83,561
17.9,26.8,0.5446,1.5,103,92,532
18.2,26.1,0.5387,1.4,102,81,535
18,27.1,0.5522,1.5,94,90,525
17,28.9,0.5558,1.9,98,95,603
16.1,31.3,0.568,2.5,126,114,802
14.5,35.4,0.5839,2.1,108,106,796
13.2,37.9,0.5733,1.6,95,99,689
13.1,34.4,0.517,1.2,78,90,553
13.5,28.5,0.4405,1.1,61,82,509
12.4,31.9,0.4583,1,55,74,455
13.1,26.8,0.4023,1,57,76,425
11.6,33.6,0.4595,0.7,41,66,436
10.5,42.9,0.5442,0.7,46,73,618
11.7,38.7,0.5298,0.8,-200,-200,747
12.2,37.2,0.5277,-200,41,69,693
12.9,33.9,0.5037,0.7,52,71,691
11.3,40.3,0.5376,1.1,111,98,1013
11.9,38.4,0.5341,2.6,191,115,1311
13.3,35.6,0.5416,4,244,130,1675
16.3,28.8,0.5305,4.2,283,150,1689
17.9,28.2,0.5741,4.7,320,159,1688
18.3,26.6,0.5529,3.9,249,146,1548
20.8,22.5,0.5463,3.7,219,138,1490
22.4,20,0.5352,3.4,200,128,1354
20.9,21.7,0.5295,2.2,138,97,1014
19.1,26.5,0.579,1.9,118,91,831
18.1,30.6,0.6295,1.6,99,81,699
17.3,34.7,0.6788,2.1,112,99,926
15.8,40.4,0.7228,2.2,117,101,928
15.9,42,0.7541,2.7,129,106,1038
15.9,43.5,0.779,2.4,132,102,1035
15,46.1,0.7833,1.3,73,84,789
15.1,44.6,0.7574,1.2,68,81,692
14.9,43.5,0.7302,1.5,80,91,764
14.8,41,0.685,1.3,68,82,639
14.8,40.8,0.6814,1,44,64,541
14.8,40.8,0.6834,0.9,47,70,678
14.2,36.1,0.5823,0.5,-200,-200,381
14.5,36.1,0.5928,0.5,15,26,343
14.6,36,0.5947,0.6,44,58,436
14.4,38.5,0.6291,1,85,93,688
13.8,58.2,0.9129,3.1,207,110,1438
13.2,61.1,0.9256,4.1,230,115,1489
10.4,74.4,0.9384,2.2,181,125,1093
11.5,71,0.9582,1.7,144,118,965
12.2,70,0.9924,1.9,140,109,1004
12.3,73.3,1.0442,2.9,204,123,1166
11.3,78.1,1.0411,2.2,149,114,991
13.6,69.2,1.0746,2.6,171,114,1054
14.9,59.3,0.9974,3.1,195,119,1192
15.7,50.9,0.8997,2.3,152,111,1055
15.2,52.9,0.9087,2.4,128,103,1048
15.5,50.8,0.8881,2.8,121,103,1073
14.3,52.9,0.8581,2.7,142,107,1068
13.2,56,0.8446,2.3,131,105,1019
12.6,57,0.8315,1.5,81,91,833
12.3,57.8,0.8224,1.4,60,79,759
12,58.4,0.8164,1.2,57,79,749
12,61.6,0.8593,1.6,96,86,978
11.5,63.9,0.8652,1.2,85,70,944
10.7,67.2,0.863,1.1,50,55,891
9,73.1,0.8394,0.9,-200,-200,849
10.2,66.6,0.8299,0.7,57,49,790
11,63.7,0.8325,0.9,64,50,852
9.6,68.8,0.8243,1.7,153,67,987
9.5,69.6,0.8273,4.2,342,94,1435
11.9,60.9,0.8455,6.2,378,119,1798
16.2,48.6,0.8892,4.6,304,139,1677
19.2,39.6,0.8693,2.8,192,113,1282
19.7,38.4,0.8743,1.6,130,88,871
20.6,36.7,0.8797,1.7,106,73,759
21.8,33.9,0.8771,1.7,102,73,790
-200,-200,-200,1.7,99,72,-200
-200,-200,-200,1.9,108,81,-200
-200,-200,-200,2.3,131,93,-200
23.6,27.5,0.7913,3.3,163,106,1187
22.8,32.1,0.8814,4.2,211,132,1399
20.8,36.7,0.8878,5.5,267,164,1644
18.3,40.9,0.8493,4.9,269,161,1599
16.8,44,0.8341,2.5,154,124,1223
15.8,48,0.8569,2,127,113,1200
14.9,52,0.8757,2,122,103,1118
14.1,54.4,0.8701,2,126,104,1067
13.3,58.8,0.8922,1.3,84,93,1048
13.3,60.9,0.9229,1,58,60,718
11.8,64.3,0.8869,0.9,-200,-200,797
11.2,65.9,0.8775,-200,37,52,749
11.3,72.9,0.9738,0.7,56,66,737
11.4,71.8,0.9671,1.1,91,82,903
11.9,73.7,1.0254,2.6,159,109,1159
12.6,70.2,1.0221,3.9,190,114,1365
13.6,65.3,1.0136,5,249,139,1510
16.9,52.3,1.0013,3.3,196,127,1386
19.4,44.1,0.9855,2.9,180,127,1368
22.9,33.8,0.9322,3.1,167,135,1347
23.6,31.3,0.9001,3,159,130,1242
24.7,30.5,0.9371,2.7,152,126,1138
26.1,27.3,0.9101,2.7,149,121,1080
27.6,22.8,0.8288,2.6,143,122,1002
26.9,22.3,0.7792,3.7,185,138,1212
24.3,30.1,0.9012,4.5,223,165,1486
21.2,40.1,0.9978,4.7,215,154,1567
19.4,42.5,0.9483,5.5,271,168,1723
18.5,43,0.9074,3,180,146,1399
17.8,47,0.9467,1.9,115,124,1291
16.8,53.2,1.01,2.3,149,124,1443
17.1,51.8,0.999,1.6,98,106,1270
16.2,54.2,0.9933,1.3,73,88,1110
15.1,58.2,0.9886,1.2,69,83,1060
15.1,57.6,0.9796,0.9,-200,-200,965
14.5,58,0.9488,0.8,60,74,891
13.7,61.6,0.9631,0.8,56,64,905
13.9,59.6,0.9408,0.9,73,69,899
13.3,61.7,0.9399,2,159,91,1136
15.1,55.8,0.9486,3,203,96,1391
17,50.5,0.9684,3.1,211,106,1460
19.7,43.3,0.9837,-200,-200,-200,1410
20.7,41.7,1.0092,-200,-200,-200,1372
23.3,35.8,1.0098,-200,-200,-200,1266
23.8,30.5,0.8897,-200,-200,-200,1014
24.8,27,0.8325,-200,-200,-200,870
25,27.5,0.8575,-200,-200,-200,905
25.8,26.5,0.8675,-200,-200,-200,991
25.1,27.1,0.8496,-200,-200,-200,1076
23.7,28.6,0.8273,-200,-200,-200,1249
22.1,36.8,0.9681,-200,-200,-200,1548
19.9,47.5,1.0912,-200,-200,-200,1300
18.7,50.4,1.0772,-200,-200,-200,1029
18.1,51.3,1.0587,-200,-200,-200,1207
17.5,53.8,1.0648,-200,-200,-200,1047
16.7,56.5,1.0634,-200,-200,-200,923
15.9,59.2,1.0635,-200,-200,-200,862
15.2,62.4,1.0726,-200,-200,-200,752
14.7,65,1.0766,-200,-200,-200,791
14.3,65.3,1.0594,-200,-200,-200,697
13.7,66.5,1.0393,-200,-200,-200,664
12.9,69.1,1.0264,-200,-200,-200,891
13.7,64.8,1.0135,-200,-200,-200,813
15.3,59,1.0181,-200,-200,-200,828
18.1,49.8,1.0272,-200,-200,-200,1057
21.5,40.7,1.0301,-200,-200,-200,1011
23.3,37.1,1.0457,-200,-200,-200,932
25.1,33.8,1.0594,-200,-200,-200,881
25.6,32.1,1.0393,-200,-200,-200,646
25.8,31.1,1.0143,-200,-200,-200,536
26.1,30.8,1.0253,-200,-200,-200,746
24.4,36,1.085,-200,-200,-200,833
23,36.2,1.0053,-200,-200,-200,802
22.1,39.3,1.0336,-200,-200,-200,838
19.8,44.6,1.0208,-200,-200,-200,1051
18.5,48.9,1.0323,-200,-200,-200,1041
16.6,56.1,1.0481,-200,-200,-200,646
15.8,58.8,1.0464,-200,-200,-200,769
15.3,60.8,1.0501,-200,-200,-200,785
14.7,64.4,1.0717,-200,-200,-200,613
